'বিহুরে লগন মধুরে লগন';'আ..আআ…
 বিহুরে লগন মধুরে লগন,
 অকাশে বাতাসে লাগিল রে
 চম্পা ফুটিছে চামলী ফুটিছে,
 তার সুবাসে ময়না আমার ভাসিল রে

হলুদ বরন মেঘলা এ তার যৌবন উছলায়
 লাল ওরনার আড়াল দিয়া চক্ষু দুটি চায়
 খোপায় টগর ময়না বুঝি আমায় খুঁজে হায়
 বসন্তে এ বিহুর লগন উত্তাল হয়ি যায়

বিহুরে লগন মধুরে লগন,
 অকাশে বাতাসে লাগিল রে
 নাচিতে নাচিতে তার ভরা যৌবন
 বিহুর সাজে সবার মাঝে অসিল রে

তাহার নাচ দেখি অমার অঙ্গ অবস হয়
 ঢোলের কাঠি দুহাত থিকে অপনি খসি যায়
 জগত জুড়ি বিহুর পরব খুসি জে ছ​ড়ায়
 বসন্তে এ বিহুর লগন উত্তাল হয়ি যায়

বিহুরে লগন মধুরে লগন,
 অকাশে বাতাসে লাগিল রে
 চম্পা ফুটিছে চামলী ফুটিছে,
 তার সুবাসে ময়না আমার ভাসিল রে';'অজানা';'পল্লীগীতি';'0'
'রিক্সা চালাও রসিক বন্ধু রে';'রিক্সা চালাও রসিক বন্ধু সামনের রাস্তা দিয়া।
 মুইও বাগি চাইয়া থাকি। জানালা মেলিয়া রে।।

আইস্তে যাইতে রিক্সাওয়ালা রিক্সাত মার ব্যাল।
 ঘরের ভিতর থাকি আর। বুহত করে চ্যাল রে।।
 রিক্সা চালাও রসিক বন্ধু রে
 রিক্সা চালাও রসিক বন্ধু রে

ঠিক দুপুরে চালাও রিক্সা গ দি ফরে ঘাম
 মনে হয় যে আঁচল দিয়া। মুছাই দিতাম ঘাম রে
 রিক্সা চালাও রসিক বন্ধু রে
 রিক্সা চালাও রসিক বন্ধু রে

সিডর উপর বইয়া রে গুন গুন কর গান।
 উডর কোনত লেখা আছে। ভালবাসার নাম রে
 রিক্সা চালাও রসিক বন্ধু রে
 রিক্সা চালাও রসিক বন্ধু রে

শুন শুন বলি তোমায় রিক্সার ডাইবার।
 তোয়ার রিক্সাত করিবা নি। আ’রে পেছেঞ্জার রে
 রিক্সা চালাও রসিক বন্ধু রে
 রিক্সা চালাও রসিক বন্ধু রে';'শেফালী ঘোষ';'পল্লীগীতি';'0'
'যদি সুন্দর একখান মুখ পাইতাম';'যদি সুন্দর একখান মুখ পাইতাম
 যদি নতুন একখান মুখ পাইতাম
 মইশাইল্যা পানের খিলি তারে বানাই খাওইতাম।।

একদিনে নাই ডাকি তারে। হাউশের পিরীত শিখাইতাম।
 আমি হাউশের পিরীত শিখাইতাম
 মইশখাইল্যা পানের খিলি তারে বানাই খাওইতাম।।

নয়া মুখের নয়া কথা হুনিতে সুন্দর
 মাঝে মাঝে পান চিবাইত হাসির ভিতর।

প্রেমের মালা দুনো হাতে। তারে গলাত পরাইতাম।
 আমি তারে গলাত পরাইতাম
 মইশখাইল্যা পানের খিলি তারে বানাই খাওইতাম।।

রসের কথা, রসের পিরীত যদি ন জানে
 দুইয়ান একখান কইতাম তারে প্রেমের কারণে।

নর-নারীর হাউশের পিরীত। কি মজা তারে বুঝাইতাম
 আমি কি মজা তারে বুঝাইতাম।
 মইশখাইল্যা পানের খিলি তারে বানাই খাওইতাম।।';'শেফালী ঘোষ';'পল্লীগীতি';'0'
'তোমার লাগিয়া রে সদাই প্রাণ আমার';'তোমার লাগিয়া রে
 সদাই প্রাণ আমার কান্দে বন্ধুরে
 প্রাণ বন্ধু কালিয়া রে।।

নিদয় নিঠুর রে বন্ধু
 তুই তো কূল নাসা।

(আমায়) ফাঁকি দিয়ে ফেলে গেলি রে বন্ধু।
 না পুড়াইলি আশা বন্ধু রে
 প্রাণ বন্ধু কালিয়া রে।।

আগে যদি জানতাম রে বন্ধু
 তোর বাড়ি নৈরাশা।

(ও তুই) না জেনে পীড়িতের রীতি রে বন্ধু।
 ঘটাইলি দুর্দশা বন্ধু রে
 প্রাণ বন্ধু কালিয়া রে।।

হৃদয় চিড়িয়া রে দিতাম হৃদয়তে বাসা।
 (আমি) তোমায় দেখে স্বাধ মিটাইতাম রে বন্ধু।
 খেলতাম প্রেমের পাশা রে বন্ধু
 প্রাণ বন্ধু কালিয়া রে।।';'আব্দুল আলীম';'নীনা হামিদ';'0'
'সোনা বন্ধুরে, আমি তোমার নাম লইয়া কান্দি';'সোনা বন্ধুরে, আমি তোমার নাম লইয়া কান্দি
 গগণেতে ডাকে দেয়া আসমান হইল আন্ধিরে বন্ধু
 আমি তোমার নাম লইয়া কান্দি

তোমার বাড়ি আমার বাড়ি মধ্যে সুরো নদী
 সেই নদীকে মনে হইলো অকুল জলধি রে বন্ধু
 আমি তোমার নাম লইয়া কান্দি

গগণেতে ডাকে দেয়া আসমান হইল আন্ধিরে বন্ধু
 আমি তোমার নাম লইয়া কান্দি

উইড়া যায় রে ছকুয়ার পঙ্খী
 পইড়া রইলো ছায়া
 কোন পরাণে বিদেশ হইলা
 ভুলি দ্যেশের মায়া রে বন্ধু
 আমি তোমার নাম লইয়া কান্দি।।';'স্বাগত দে';'পল্লীগীতি';'0'
'মাঝি বাইয়া যাও রে';'মাঝি বাইয়া যাও রে।
 অকুল দরিয়ার মাঝে
 আমার ভাঙা নাও রে।।

ভেন্না কাষ্ঠের নৌকা খানি।
 মাঝখানে তার বুরা

(নৌকার) আগার থাইকা পাছায় গেলে।
 গলুই যাবে খইয়া রে।।

দীক্ষা শিক্ষা না হইতে
 আগে করছো বিয়া।
 (তুমি) বিনে খতে গোলাম হইলে
 গাইটের টাকা দিয়া রে।।

বিদেশে বিপাকে যারও
 বেটা মারা যায়।
 পাড়া-পরশি না জানিয়ে
 জানে তারও মা’য়ও রে।।';'আব্বাস উদ্দিন আহমেদ';'প্রচলিত';'0'
'নাও ছাড়িয়া দে পাল উড়াইয়া দে';'নাও ছাড়িয়া দে পাল উড়াইয়া দে
 ছল ছলাইয়া চলুক রে নাও মাঝ দইরা দিয়া চলুক মাঝ দইরা দিয়া।।

উড়ালি বিড়ালি বাওয়ে নাওয়ের বাদাম নড়ে (আরে)।
 আথালি পাথালি পানি ছলাৎ। ছলাৎ করে রে।

আরে খল খলাইয়া হাইসা উঠে
 বৈঠার হাতল চাইয়া হাসে, বৌঠার হাতল চাইয়া।।

ঢেউয়ের তালে পাওয়ের ফালে নাওয়ের গলই কাঁপে
 তির তিরাইয়া নাওয়ের খৈয়াই রোইদ তুফান মাপে,
 মাপে রোইদ তুফান মাপে

চিরলি পিরলি পুলে ভ্রমর-ভ্রমরী খেলে রে (আরে)।
 বাদল উদালি কায়ে পানিতে জমিতে হেলে রে

আরে তুর তুরাইয়া আইলো দেওয়া *** হাতে এলইয়া।

শালি ধানের শ্যামলা বনে হইলদা পঙ্খি ডাকে
 চিকমিকাইয়া হাসে রে চান সইশা ক্ষেতের ফাকে
 ফাকে সইশা ক্ষতের ফাকে 

সোনালি রূপালি রঙে রাঙা হইলো নদী (আরে)।
 মিতালী পাতাইতাম মুই মনের মিতা পাইতাম যদি রে

আরে ঝিলমিলাইয়া খালর পানি নাচে থৈইয়া থৈইয়া
 পানি নাচে থৈইয়া থৈইয়া।।';'আব্বাস উদ্দিন আহমেদ';'পল্লীগীতি';'0'
'আরে ও ভাটিয়াল গাঙ্গের নাইয়া';'আরে ও ভাটিয়াল গাঙ্গের নাইয়া
 আবু ভাইরে কইয়ো আমায় নাইওর নিতো আইয়া
 রে ভাটিয়াল গাঙ্গের নাইয়া

ঐ না ঘাটে বইয়ারে কান্দি দ্যেশের পানে চাইয়া।
 চক্ষের পানি নদীর জলে। যাইতাছে মিশিয়া
 ভাটিয়াল গাঙ্গের নাইয়া
 আবু ভাইরে কইয়ো আমায় নাইওর নিতো আইয়া
 রে ভাটিয়াল গাঙ্গের নাইয়া

কোন পরাণে আছেরে ভাই আমায় পাষরিয়া।
 জঙ্গলারই বাঘের মুখে। গেলনি পাশ দিয়া
 ভাটিয়াল গাঙ্গের নাইয়া
 আবু ভাইরে কইয়ো আমায় নাইওর নিতো আইয়া
 রে ভাটিয়াল গাঙ্গের নাইয়া

এই বাইষ্যাতে নাহিরে নিলে গলায় কলসি বাইন্দ্যা।
 ঐ না গহিন গাঙ্গের তলায়। মরিবো ডুবিয়া
 ভাটিয়াল গাঙ্গের নাইয়া
 আবু ভাইরে কইয়ো আমায় নাইওর নিতো আইয়া
 রে ভাটিয়াল গাঙ্গের নাইয়া

জালালে কয় আর কতদিন থাক রইয়া সইয়া
 জল শুকাইলে নিবেরে নাইওর। বাঁশের পালং দিয়া
 ভাটিয়াল গাঙ্গের নাইয়া
 আবু ভাইরে কইয়ো আমায় নাইওর নিতো আইয়া
 রে ভাটিয়াল গাঙ্গের নাইয়া';'আব্বাস উদ্দিন আহমেদ';'আব্বাস উদ্দিন আহমেদ';'0'
'তোরে রাং দিল কি সোনা দিল';'তোরে রাং দিল কি সোনা দিল, তুই পরখ কইরে দেখলি না
 গুরু তোরে কী ধন দিল চিনলি না মনা

গুরু দিল খাঁটি সোনা
